,author_name,institution,position,abstract,year,publisher,category,title,subfield,first_name,name,prob_female,author_female
10,"Newton, Peter F.","Nat Resources Canada, Canadian Forest Serv, Canadian Wood Fibre Ctr Ontario, 1219 Queen St East, Sault Ste Marie, ON P6A 2E5, Canada.",1.0,"Modifying the stand dynamic functional determinates of structural stand density management models (SSDMMs) through the incorporation of site-specific biophysical height-age equations enabled the simulation of the effects of increasing mean temperature and precipitation during the growing season on black spruce (Picea mariana (Mill.) BSP) and jack pine (Pinus banksiana Lamb.) plantation productivity. The analytical approach consisted of calculating future values of growing season mean temperature and precipitation rates under three emissions scenarios (no change (NC); B1; and A2), spanning three continuous commitment periods (2011-2040; 2041-2070; and 2071-2100), for three geographically separated sites throughout the central portion of the Canadian Boreal Forest Region (north-eastern (Kirkland Lake); north-central (Thunder Bay); and north-western (Dryden) Ontario, Canada), using the Canadian Coupled Global Climate Model (CGCM3) in conjunction with a geographic-referencing climatic surface model. These estimates were entered into the embedded biophysical equations in the SSDMMs in order to forecast emission-scenario-specific developmental patterns of plantations managed under a conventional density management regime by species and site quality (poor-to-medium and good-to-excellent) at each locale; from which stand development rates and associated productivity metrics over 75 year-long rotations were estimated and compared (e.g., mean sizes, volumetric, biomass and carbon yields, end-products, economic worth, stand stability, wood quality indices, and operability status). Simulation results indicated that black spruce plantations situated on both site qualities at the north-western location and on the lower site quality at the north-eastern location were negatively affected from the predicted increased warming and rainfall as evidenced from consequential declines in stand development rates and resultant decreases in rotational mean sizes, biomass yields, recoverable end-product volumes, and economic worth (A2 > B1). Conversely, black spruce plantations situated on both site qualities at the north-central location and on the higher site quality at the north-eastern location were minimally and positively affected under the A2 and B1 scenarios, respectively. Jack pine plantations situated on both site qualities at all three locations were negatively affected as evident by the reductions in stand development rates and rotational mean sizes, biomass yields, recoverable end-product volumes, and economic worth (A2 > B1). Collectively, these response patterns suggest that stand-level productivity under a changing climate will vary by species, site quality, geographic locale, and emission scenario, potentially resulting in a landscape-level mosaic of both negative and positive productivity impacts in the case of black spruce, and mostly negative impacts in the case of jack pine. As demonstrated, modelling stand-level responses to projected increases in thermal and moisture regimes through the modification of existing stand-level forecasting models, and accounting for divergent effects due to species, site quality, and geographic locale differences, is a viable and efficient alternative approach for projecting productivity outcomes arising from anthropogenic-induced changes in growing conditions.",2016.0,MDPI,Forestry,Simulating the Potential Effects of a Changing Climate on Black Spruce and Jack Pine Plantation Productivity by Site Quality and Locale through Model Adaptation,Environmental studies & forestry,Peter F.,Peter,0.0,0.0
11,"Ravnborg, Helle Munk","Danish Inst Int Studies, Copenhagen, Denmark.",1.0,"Secure and legally sanctioned access to water is gaining significance to farmers to cushion themselves against climate change and to participate in markets that are increasingly concerned with social and environmental responsibility. Nicaragua is among the countries which recently has introduced a new water rights regime as part of its water governance reform. The article analyzes the extent to which the reform has succeeded in providing water security for all. The article argues that due to selective and partial implementation, the water governance reform could lead to the concentration of enforceable water rights in the hands of the few.",2016.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Engineering,Water governance reform in the context of inequality: securing rights or legitimizing dispossession?,Engineering & technology,Helle Munk,Helle,1.0,1.0
12,"Ford, James D.","McGill Univ, Dept Geog, Montreal, PQ, Canada.",1.0,"Indigenous populations have been identified as vulnerable to climate change. This framing, however, is detached from the diverse geographies of how people experience, understand, and respond to climate-related health outcomes, and overlooks nonclimatic determinants. I reviewed research on indigenous health and climate change to capture place-based dimensions of vulnerability and broader determining factors. Studies focused primarily on Australia and the Arctic, and indicated significant adaptive capacity, with active responses to climate-related health risks. However, nonclimatic stresses including poverty, land dispossession, globalization, and associated sociocultural transitions challenge this adaptability. Addressing geographic gaps in existing studies alongside greater focus on indigenous conceptualizations on and approaches to health, examination of global local interactions shaping local vulnerability, enhanced surveillance, and an evaluation of policy support opportunities are key foci for future research. (Am J Public Health. 2012;102:1260-1266. doi:10.2105/AJPH.2012.300752)",2012.0,AMER PUBLIC HEALTH ASSOC INC,"Public, Environmental & Occupational Health",Indigenous Health and Climate Change,Medicine,James D.,James,0.0,0.0
13,"Sand, Peter H.","Univ Munich, Inst Int Law, Munich, Germany.",1.0,"The new ""marine protected area"" proclaimed in 2010 in the Chagos Archipelago (British Indian Ocean Territory [BIOT]) raises a fundamental conflict between colonial nature protection and the human rights of the indigenous Chagos islanders who were expelled to make way for a U.S. military base, and whose resettlement in the archipelago the U.K. government now seeks to prevent by invoking global environmental concerns.",2012.0,SAGE PUBLICATIONS INC,Development Studies,"Fortress Conservation Trumps Human Rights? The ""Marine Protected Area"" in the Chagos Archipelago",Interdisciplinary,Peter H.,Peter,0.0,0.0
14,"Dou, Xiangsheng","Southwest Jiaotong Univ, Sch Econ & Management, Leshan Shi, Sichuan Sheng, Peoples R China.",1.0,"Groundwater, as an important store of freshwater, plays a more critical role in sustaining the ecosystem and enhancing human adaptation to changing climate than surface water. In particular, it can store large volumes of water to naturally buffer the pressure of water shortage against seasonal changes in rainfall. However, groundwater itself is also vulnerable to climate change, showing a great change in hydrologic cycle. Therefore, effective groundwater management has a strategic importance for China's water security. At present, China is facing a groundwater crisis because of the dual effects of natural and anthropogenic factors. Many new ideas and solutions have been given in previous studies on groundwater utilization and management. This paper vividly captures these studies. The paper summarizes groundwater properties and the situation of groundwater development and utilization. The paper also reports challenges, strategies and policies in groundwater sustainability.",2016.0,IWA PUBLISHING,Water Resources,A critical review of groundwater utilization and management in China's inland water shortage areas,Geography,Xiangsheng,Xiangsheng,,
15,"Lim, Michelle","Griffith Univ, Griffith Law Sch, Arts Educ & Law Grp, Bldg G36,Room 3-76,Gold Coast Campus,Parklands Dr, Southport, Qld 4222, Australia.",1.0,"Intact ecosystems across jurisdictional boundaries are of growing importance as the world continues to experience the impacts of climate change. International boundaries have, however, been drawn for political rather than ecological reasons. Ecosystem components often occur in more than one nation and are consequently subject to conflicting management and land-use practices. This research integrates the legal, institutional and environmental management components of transboundary biodiversity conservation to propose a comprehensive framework for evaluating the potential effectiveness of transboundary conservation regimes. The paper presents twelve criteria for the effective transboundary conservation of terrestrial biodiversity. These criteria can assist in the evaluation of existing initiatives and the design of future ones. The criteria will be of increasing importance as decision-makers seek to adapt to climate change and conserve biodiversity at all scales of political organization.",2016.0,SPRINGER,Business & Economics,Governance criteria for effective transboundary biodiversity conservation,Economics,Michelle,Michelle,1.0,1.0
16,"Luedeling, Eike","World Agroforestry Ctr, Nairobi, Kenya.",1.0,"Temperate fruit and nut species require exposure to chilling conditions in winter to break dormancy and produce high yields. Adequate winter chill is an important site characteristic for commercial orchard operations, and quantifying chill is crucial for orchard management. Climate change may impact winter chill. With a view to adapting orchards to climate change, this review assesses the state of knowledge in modelling winter chill and the performance of various modelling approaches. It then goes on to present assessments of past and projected future changes in winter chill for fruit growing regions and discusses potential adaptation strategies. Some of the most common approaches to modelling chill, in particular the Chilling Hours approach, are very sensitive to temperature increases, and have also been found to perform poorly, especially in warm growing regions. The Dynamic Model offers a more complex but also more accurate alternative, and use of this model is recommended. Chill changes projected with the Dynamic Model are typically much less severe than those estimated with other models. Nevertheless, projections of future chill consistently indicate substantial losses for the warmest growing regions, while temperate regions will experience relatively little change, and cold regions may even see chill increases. Growers can adapt to lower chill by introducing low-chill cultivars, by influencing orchard microclimates and by applying rest-breaking chemicals. Given substantial knowledge gaps in tree dormancy, accurate models are still a long way off. Since timely adaptation is essential for growers of long-lived high-value perennials, alternative ways of adaptation planning are needed. Climate analogues, which are present-day manifestations of future projected climates, can be used for identifying and testing future-adapted species and cultivars. Horticultural researchers and practitioners should work towards the development and widespread adoption of better chill accumulation and dormancy models, for facilitating quantitatively appropriate adaptation planning. (C) 2012 Elsevier B.V. All rights reserved.",2012.0,ELSEVIER SCIENCE BV,Agriculture,Climate change impacts on winter chill for temperate fruit and nut production: A review,Agriculture,Eike,Eike,0.16666666666666666,0.0
17,"Matthews, H. Damon","Concordia Univ, Dept Geog Planning & Environm, Montreal, PQ H3G 1MB, Canada.",1.0,"Contributions to historical climate change have varied substantially among nations(1-5). These differences reflect underlying inequalities in wealth and development, and pose a fundamental challenge to the implementation of a globally equitable climate mitigation strategy(6-8). This Letter presents a new way to quantify historical inequalities among nations using carbon and climate debts, defined as the amount by which national climate contributions have exceeded a hypothetical equal per-capita share over time(6,8,9). Considering only national CO2 emissions from fossil fuel combustion, accumulated carbon debts across all nations from 1990 to 2013 total 250 billion tonnes of CO2, representing 40% of cumulative world emissions since 1990. Expanding this to reflect the temperature response to a range of emissions, historical climate debts accrued between 1990 and 2010 total 0.11 degrees C, close to a third of observed warming over that period. Large fractions of this debt are carried by industrialized countries, but also by countries with high levels of deforestation and agriculture. These calculations could contribute to discussions of climate responsibility by providing a tangible way to quantify historical inequalities, which could then inform the funding of mitigation, adaptation and the costs of loss and damages in those countries that have contributed less to historical warming.",2016.0,NATURE PUBLISHING GROUP,Environmental Sciences & Ecology,Quantifying historical carbon and climate debts among nations,Environmental studies & forestry,H. Damon,Damon,0.0,0.0
18,"Wilhite, Donald A.","Univ Nebraska, Lincoln, NE 68583 USA.",1.0,"There is an increasing concern worldwide regarding the ineffectiveness of current drought management practices that are based largely on crisis management. These practices are reactive and, therefore, only treat the symptoms (impacts) of drought rather than the underlying causes of the vulnerabilities associated with impacts. More effective drought management requires a shift in the paradigm from drought response to a drought risk management approach.",2016.0,INTER-RESEARCH,Environmental Sciences & Ecology,Managing drought risk in a changing climate,Environmental studies & forestry,Donald A.,Donald,0.0,0.0
19,"Khan, Shabana","Victoria Univ Wellington, Wellington, New Zealand.",1.0,"An understanding of vulnerability is not only crucial for the survival of the exposed communities to extreme events, but also for their adaptation to climate change. Vulnerability affects community participation in hazard mitigation, influences emergency response and governs adaptive capacity for the changing environmental and hazards characteristics. However, despite increased awareness, assessments and understanding of the processes that produce vulnerability, disaster risks prevail. This raises questions on the effectiveness of vulnerability assessments and their applications for hazard mitigation and adaptation. The literature includes a range of vulnerability assessment methods, wherein frequently the selection of any particular method is governed by the research objectives. On the other hand, hazard mitigation plans and policies even though mention vulnerability, their implementation pays less attention to the variations in its nature and underlying causes. This paper explores possible reasons for such gaps by exploring a case study of the Hutt Valley, New Zealand. It brings out the limitations of different vulnerability assessment methods in representing the local vulnerability and challenges they bring in planning for the vulnerability reduction. It argues that vulnerability assessment based on any particular method, such as deprivation index, principle component analysis, composite vulnerability index with or without weight, may not reveal the actual vulnerability of a place, and therefore, a comprehensive vulnerability assessment is needed.",2012.0,SPRINGER,Geology,"Vulnerability assessments and their planning implications: a case study of the Hutt Valley, New Zealand",Earth sciences,Shabana,Shabana,1.0,1.0
20,"Schwartz, Mark W.","Univ Calif Davis, John Muir Inst Environm, Dept Environm Sci & Policy, 1 Shields Ave, Davis, CA 95616 USA.",1.0,"Assisted colonization is a proposed climate change adaptation strategy. Martin-Alcon et al. (Applied Vegetation Science, this issue) report an experiment to evaluate the efficacy of assisted colonization and identify thermal distance as a critical consideration. By extension, we should consider the role that ecological distance and socio-political distance play within any plan to reduce extinction risk through assisted colonization.",2016.0,WILEY-BLACKWELL,Plant Sciences,Elucidating biological opportunities and constraints on assisted colonization,Biology,Mark W.,Mark,0.0,0.0
21,"Kiseleva, Tatiana","Free Univ Amsterdam, Dept Spatial Econ, Amsterdam, Netherlands.",1.0,"We study how heterogeneous beliefs about the causes and extent of global warming affect local mitigation and adaptation strategies and therefore global climate dynamics. Local policies are determined by expectations of policy makers about future climate. There are three types of expectations: strong skeptic, weak skeptic and 'science-based'. Strong skeptics deny human-induced climate change and a possibility of a climate catastrophe. Weak skeptics believe that industrial emissions cause global warming, but deny catastrophic climate change. Science-based policy makers, considering the warning of the scientific community, account for both: human influence on climate and possible catastrophic shifts. Aggregate behavior of policy makers determines the total emission level which influences global climate dynamics. The paper argues that even if there are only skeptical policy makers the climate catastrophe can still be avoided.",2016.0,SPRINGER,Business & Economics,Heterogeneous Beliefs and Climate Catastrophes,Economics,Tatiana,Tatiana,1.0,1.0
22,"Archer, David R.","JBA Consulting Engneers & Sci, Skipton, N Yorkshire, England.",1.0,"The impact of land use change on flood response is an issue of considerable practical importance for rural land use management. However firm evidence of catchment scale impacts have been hard to find, mainly because of the confounding influence of climate variability. Methods based on flow variability analysis have been used to demonstrate the effects of land use change. This study uses the paired moorland and afforested catchments at Plynlimon, mid-Wales to assess catchment differences in response over a wide flow spectrum up to flood flows. Analysis using differences in annual pulse numbers and average duration above threshold discharges between catchments allows the effect of climate variability to be taken into account. Results demonstrate a greater level of flow variability, especially in summer, and shorter hydrograph duration, especially in winter, on the moorland Wye catchment. Trends and variations arising from forest maturation and felling, and the seasonality of trends are also identified. Analysis of annual maximum rise and fall in discharge over short durations (<2 h) are shown to be more effective in distinguishing between catchment responses than peak flow. (c) 2007 Elsevier B.V. All rights reserved.",2007.0,ELSEVIER,Engineering,"The use of flow variability analysis to assess the impact of land use change on the paired Plynlimon catchments, mid-Wales",Engineering & technology,David R.,David,0.0,0.0
23,"Kousky, Carolyn","Resources Future Inc, Washington, DC USA.",1.0,"We can expect climate change to alter the frequency, magnitude, timing, and location of many natural hazards. For example, heat waves are likely to become more frequent, and heavy downpours and flooding more common and more intense. Hurricanes will likely grow more dangerous, rising sea levels will mean more coastal flooding, and more-frequent and more intense droughts will produce more wildfires. Children, particularly the poor and those in developing countries, are at risk. Carolyn Kousky considers three ways that natural disasters may harm children disproportionately, often with long-lasting effects. First, disasters can damage children's physical health. Children may be injured or killed, but they may also suffer from such things as malnutrition caused by disruptions in food supply or diarrheal illness caused by contaminated water. Moreover, disasters can cut off access to medical care, even for non-disaster-related illnesses. Second, disasters can cause mental health problems. Not only are disasters themselves stressful and frightening, but children can suffer psychological harm from the damage to their homes and possessions; from migration; from the grief of losing loved ones; from seeing parents or caregivers undergo stress; from neglect and abuse; and from breakdowns in social networks, neighborhoods, and local economies. Third, disasters can interrupt children's education by displacing families, destroying schools, and pushing children into the labor force to help their families make ends meet in straitened times. How can we mitigate the dangers to children even as disasters become more powerful and more frequent? For one thing, we can prepare for disasters before they strike, for example, by strengthening school buildings and houses. Kousky also describes actions that have been proven to help children after a disaster, such as quickly reuniting them with parents and caregivers. Finally, a range of policies not designed for disasters can nonetheless help mitigate the harm disasters cause children and their families. In fact, Kousky writes, using existing safety net programs may be easier, faster, and more effective than creating entirely new programs after a disaster occurs.",2016.0,PRINCETON UNIV,Family Studies,Impacts of Natural Disasters on Children,Sociology,Carolyn,Carolyn,1.0,1.0
24,"Teshome, Menberu","Univ Gondar, Dept Geog & Environm Studies, POB 196, Gondar, Ethiopia.",1.0,"This study assessed the vulnerability levels of farmers to water poverty in spatially different agro-ecological areas of northwest Ethiopia, where severe climate change risks exist. Data were collected from 525 randomly selected rural households in dega (highland), woyna-dega (midland) and kola (lowland) agro-ecological zones using questionnaires. This study also used secondary meteorological data. Rural households' exposure and vulnerability levels were analyzed using simple regression, standardized precipitation index, drought intensity and climate vulnerability index (CVI). The study also used the United Nations Development Program's (UNDP's) equation to measure vulnerability differential across agro-ecologies. The indicators were normalized as indices by considering functional relationships of indicators with vulnerability. Composite vulnerability indices were calculated using the equal weighting method. The result indicates that households in kola agro-ecology were found to be more exposed and vulnerable (0.62 score) to climate change-induced water poverty than those households in woyna-dega (0.49) and dega (0.30 score). The assessment of vulnerability at the appropriate spatial scale is a key step in designing context-specific adaptation responses that are effective in addressing the needs of the poor people who reside in different agro-ecological settings.",2016.0,IWA PUBLISHING,Water Resources,Farmers' vulnerability to climate change-induced water poverty in spatially different agro-ecological areas of northwest Ethiopia,Geography,Menberu,Menberu,,
25,"Garner, Eric L.","Best Best & Krieger LLP, Los Angeles, CA 90071 USA.",1.0,"Stress on water resources throughout the world is increasing, challenging the institutions and laws that govern water use. Groundwater management efforts in Southern California have had remarkable success despite more than a half-century of strained water resources. This article explores the local, self-governing management tools that have functioned within California's extremely complex water rights system and are responsible for water management success in Southern California, and suggests that these tools can be employed effectively around the world.",2016.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Engineering,Adapting water laws to increasing demand and a changing climate,Engineering & technology,Eric L.,Eric,0.0,0.0
26,"Davidson, Debra","Univ Alberta, Dept Resource Econ & Environm Sociol, Edmonton, AB T6G 2H1, Canada.",1.0,"The value of the social sciences to climate change research is well recognized, but notable gaps remain in the literature on adaptation in agriculture. Contributions focus on farmer behaviour, with important research regarding gender, social networks and institutions remaining under-represented.",2016.0,NATURE PUBLISHING GROUP,Environmental Sciences & Ecology,Gaps in agricultural climate adaptation research,Environmental studies & forestry,Debra,Debra,1.0,1.0
