"","vocab"
"95","green space infrastructur roof effect cool island urban_island gi surfac"
"96","salin contamin concentr chemic microbi salt sampl exposur metal acid"
"97","tree growth stand forest pine site speci climat spruce proven"
"98","system integr system_climat social-ecolog complex system_chang chang_system adapt_system dynam system_adapt"
"99","-1 ha biomass year total stock rate estim per kg"
"100","delta vietnam stabl isotop mekong subsid thailand egypt c-13 ratio"
"101","communiti cultur resourc communiti_climat heritag adapt_communiti chang_communiti communiti_chang community-bas communiti_adapt"
"102","polici climat_polici chang_polici polici_climat integr implement polici_chang eu maker instrument"
"103","behavior group studi educ survey gender particip result prefer individu"
"104","heat wave heatwav hot exposur cool summer day worker increas"
"105","farm profit incom diversif farmer econom level price market dairi"
"106","coastal coast storm zone eros surg climat_coastal coastal_manag shorelin retreat"
"107","approach framework assess decis uncertainti tool use process decision-mak analysi"
"108","design structur purpos environ condit methodolog paper comfort origin studi"
"109","challeng implement need address approach solut opportun requir issu identifi"
"110","season winter phenolog summer spring day time grow period date"
"111","model simul predict use use_model dynam model_model result model_use model_climat"
"112","year decad time recent past histor period last sinc europ"
"113","region mountain region_climat region_chang western snow chang_region climat_region glacier high"
"114","fuel price oil use fossil biomass bioenergi biofuel substitut wood"
"115","area spatial factor differ studi analysi pattern scale result distribut"
"116","extrem event weather extrem_event frequenc increas intens climat_extrem chang_extrem occurr"
"117","river basin chang human runoff activ upper studi chang_river lower"
"118","social network econom capit learn inequ dimens social_climat chang_social climat_social"
"119","chang climat respons migrat human respons_chang new nan like may"
"120","peatland includ high use current peat result larg increas within"
